gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000111962.7,669,652,372,460
ENSG00000269028.2,912,31,754,700
ENSG00000109819.4,2,6,6,8
ENSG00000162980.12,1521,1386,1169,1142
ENSG00000176884.10,869,727,680,706
ENSG00000198643.2,1,1,1,4
ENSG00000184361.8,21,20,27,19
ENSG00000179361.13,55,47,77,121
ENSG00000108774.10,2231,1716,1997,1647
ENSG00000125447.12,1331,890,1057,907
ENSG00000116096.5,1068,937,878,727
ENSG00000204469.8,46,43,43,40
ENSG00000197057.4,0,2,1,2
ENSG00000105514.3,2225,2030,2283,2154
ENSG00000163631.12,2,3,1,3
ENSG00000232833.4,0,0,0,0
ENSG00000132824.9,4044,3674,3489,3289
ENSG00000168813.12,644,500,719,554
ENSG00000154611.10,1083,1016,1062,1014
ENSG00000196805.6,0,1,0,0
ENSG00000166126.6,24,20,14,16
ENSG00000100889.7,2254,1682,1964,1729
ENSG00000082196.16,32,52,57,35
ENSG00000032444.11,514,357,319,354
ENSG00000134321.7,9,24,48,29
ENSG00000148848.10,56,55,38,58
ENSG00000136854.13,942,391,602,678
ENSG00000108852.10,74,66,65,77
ENSG00000040531.10,523,363,483,414
ENSG00000117139.12,10100,8552,9654,8678
ENSG00000138297.9,1218,1065,851,916
ENSG00000140287.6,3,1,1,4
ENSG00000273259.1,2,7,15,2
ENSG00000004478.5,9900,7968,5272,4289
ENSG00000204740.5,277,279,229,265
ENSG00000214978.6,3,5,3,4
ENSG00000205220.7,576,461,383,423
ENSG00000244025.2,0,0,0,0
ENSG00000268434.1,3,8,9,4
ENSG00000166348.13,659,574,833,602
ENSG00000129187.10,877,827,770,730
ENSG00000198231.8,15838,6259,6160,5266
ENSG00000131759.13,5809,4759,1572,1276
ENSG00000117360.8,2771,2172,2210,1890
ENSG00000160323.14,78,65,131,65
ENSG00000149292.12,191,148,210,119
ENSG00000144837.4,1,1,1,1
ENSG00000107758.11,1548,1490,1517,1406
ENSG00000169894.13,298,269,348,245
ENSG00000107625.8,544,452,404,418
ENSG00000163820.10,595,514,472,326
ENSG00000142539.9,8,2,2,6
ENSG00000175895.3,2185,2049,3352,3353
ENSG00000101888.7,440,401,174,430
ENSG00000185055.6,434,554,550,14
ENSG00000080031.5,32,39,25,33
ENSG00000183060.11,0,130,0,201
ENSG00000185554.10,5,2,4,5
ENSG00000107554.11,1082,854,591,425
ENSG00000111254.3,0,0,0,0
ENSG00000176915.10,3378,2941,2589,2306
ENSG00000088876.7,68,67,26,5
ENSG00000196735.7,4,2,2,2
ENSG00000160321.10,4,4,4,8
ENSG00000106125.14,23,46,39,45
ENSG00000054267.16,1586,1533,1369,1354
ENSG00000111667.9,2207,1759,1852,1540
ENSG00000161270.15,14,8,13,12
ENSG00000129682.9,335,256,186,190
ENSG00000148824.14,350,286,295,224
ENSG00000168621.10,65,53,62,59
ENSG00000112297.10,2568,2392,2994,2989
ENSG00000116560.6,8661,9271,7490,6633
ENSG00000105053.6,1155,395,408,436
ENSG00000121542.7,454,417,366,303
ENSG00000125843.6,453,356,469,392
ENSG00000215029.4,5,5,2,4
ENSG00000183778.13,398,652,170,405
ENSG00000120137.6,3468,3529,3273,3474
ENSG00000138449.6,1,1,0,0
ENSG00000189013.10,0,0,0,0
ENSG00000204475.5,0,0,0,0
ENSG00000196715.5,2181,2081,1563,1552
ENSG00000176058.7,1084,823,711,594
ENSG00000173960.8,499,505,516,471
ENSG00000222028.2,0,0,0,1
ENSG00000142910.11,6,11,11,4
ENSG00000081019.9,1923,1908,1735,1677
ENSG00000249852.1,0,0,0,0
ENSG00000136381.8,2885,2694,2726,2789
ENSG00000117394.15,6240,5151,1662,1400
ENSG00000123836.10,1258,1451,1624,1397
ENSG00000184451.5,13,9,11,10
ENSG00000251503.3,11,10,13,9
ENSG00000186205.8,1122,1134,1153,1202
ENSG00000173436.9,880,922,646,705
ENSG00000198178.6,4,4,1,3
ENSG00000260286.1,0,0,1,0
ENSG00000100731.11,1508,1355,1193,1423
ENSG00000182156.5,1,1,1,2
ENSG00000151422.8,216,147,66,131
ENSG00000010319.2,26,26,2,3
ENSG00000105929.11,1256,1133,1172,1094
ENSG00000108270.6,1397,1182,1141,845
ENSG00000131043.7,1375,1171,1088,917
ENSG00000100554.7,2427,2193,2420,904
ENSG00000173611.13,178,184,110,165
ENSG00000144843.7,11,16,21,18
ENSG00000007129.13,3,4,2,6
ENSG00000122026.6,649,737,189,511
ENSG00000172288.6,0,0,0,0
ENSG00000029364.7,1386,1447,880,1133
ENSG00000174899.6,3,3,4,6
ENSG00000125538.7,1,1,2,4
ENSG00000152683.10,891,835,455,707
ENSG00000213996.8,2,1,2,1
ENSG00000136352.13,2,1,2,3
ENSG00000169871.8,967,796,973,791
ENSG00000124496.8,1743,1376,2092,1953
ENSG00000164266.6,3,2,1,1
ENSG00000169255.9,834,657,435,327
ENSG00000234769.4,212,162,172,170
ENSG00000126246.5,8,1,4,5
ENSG00000158882.8,149,87,146,119
ENSG00000174485.10,645,597,427,562
ENSG00000111728.6,11,15,31,35
ENSG00000153237.13,13,41,63,101
ENSG00000165272.10,464,324,294,285
ENSG00000092439.9,6685,7733,5606,4770
ENSG00000148734.7,3,4,5,4
ENSG00000143702.11,163,62,173,220
ENSG00000187135.7,1,2,1,1
ENSG00000160216.14,4557,4136,3640,3042
ENSG00000206344.6,1,1,2,1
ENSG00000134461.11,191,237,130,136
ENSG00000147437.5,26,33,37,37
ENSG00000198826.6,1211,1025,1202,1067
ENSG00000241106.2,0,0,0,1
ENSG00000087365.10,8218,6985,7180,6289
ENSG00000168237.13,63,25,41,29
ENSG00000177519.3,156,132,129,110
ENSG00000112159.7,3877,3405,2617,2123
ENSG00000164871.13,1,1,1,3
ENSG00000105048.12,264,218,243,221
ENSG00000172469.10,312,298,259,109
ENSG00000140398.9,103,60,95,96
ENSG00000215454.4,0,0,0,0
ENSG00000198888.2,43925,36546,40060,33630
ENSG00000187821.4,0,0,0,0
ENSG00000171311.8,498,489,469,462
ENSG00000198146.4,1184,1092,846,825
ENSG00000178075.15,220,169,227,192
ENSG00000206047.2,0,0,0,0
ENSG00000163635.13,2850,2584,2054,2409
ENSG00000233050.1,1,1,1,0
ENSG00000140299.7,1115,779,723,759
ENSG00000006016.6,53,110,72,71
ENSG00000104848.1,2,1,0,1
ENSG00000181350.7,2348,2003,1929,1804
ENSG00000188242.4,848,747,870,753
ENSG00000128000.11,305,306,20,309
ENSG00000139668.7,238,224,259,290
ENSG00000152669.8,26,24,32,31
ENSG00000268858.1,0,0,0,0
ENSG00000186432.4,3732,3188,2894,2873
ENSG00000138069.12,8909,7756,3812,3522
ENSG00000167077.8,100,167,189,121
ENSG00000152049.5,5,3,2,5
ENSG00000159921.10,5,5,4,7
ENSG00000255112.2,178,300,53,40
ENSG00000100629.12,261,179,210,176
ENSG00000085840.8,235,205,231,190
ENSG00000196227.6,878,720,837,1176
ENSG00000161654.5,493,226,188,205
ENSG00000105640.8,5876,4748,4740,4315
ENSG00000143473.7,51,278,231,232
ENSG00000206384.6,16,13,18,12
ENSG00000212998.1,4,8,4,2
ENSG00000105676.9,1308,990,903,761
ENSG00000074410.9,16161,6918,2952,2214
ENSG00000165917.5,12,9,13,17
ENSG00000100225.13,1363,1214,1221,1137
ENSG00000152760.5,0,1,0,0
ENSG00000175309.10,473,441,325,453
ENSG00000165152.4,6,4,5,8
ENSG00000185792.5,5,5,3,6
ENSG00000171045.10,669,529,879,535
ENSG00000188186.6,1168,951,1070,849
ENSG00000185010.9,221,350,472,786
ENSG00000102837.6,1,1,1,1
ENSG00000168143.8,583,602,935,884
ENSG00000170430.9,888,731,794,756
ENSG00000117971.7,20,21,27,19
ENSG00000267060.1,4,6,2,3
ENSG00000103194.11,6543,7025,4645,3971
ENSG00000072062.9,2525,2177,2206,2010
ENSG00000233932.3,0,0,1,0
ENSG00000181649.5,663,672,526,554
ENSG00000110395.4,1607,1420,1628,1449
ENSG00000112305.10,834,808,807,797
ENSG00000267901.1,0,0,0,0
ENSG00000062582.9,600,537,489,462
ENSG00000182566.8,0,0,0,0
ENSG00000184154.8,58,40,39,2583
ENSG00000164535.10,7203,657,488,462
ENSG00000185105.4,1,1,1,1
ENSG00000182601.6,2275,1999,2173,1908
ENSG00000105982.12,315,180,105,276
ENSG00000136770.6,1065,905,968,876
ENSG00000107018.6,15,15,12,9
ENSG00000186648.10,24,24,12,31
ENSG00000156853.7,414,345,394,367
ENSG00000165370.1,0,0,0,0
ENSG00000172534.9,5366,4415,4322,3959
ENSG00000226490.1,0,0,0,0
ENSG00000204279.3,0,0,0,0
ENSG00000111341.5,0,0,2,1
ENSGR0000167393.12,128,164,115,107
ENSG00000254827.1,5,68,3,3
ENSG00000182463.11,0,0,0,0
ENSG00000146670.5,1722,655,1310,1298
